GENDER,AGE,COUNTRY,EMPLOYMENT,EDUCATION,COMP 1.1,COMP 1.2,COMP 1.3,AREA 1,COMP 2.1,COMP 2.2,COMP 2.3,COMP 2.4,COMP 2.5,COMP 2.6,AREA 2,COMP 3.1,COMP 3.2,COMP 3.3,COMP 3.4,AREA 3,COMP 4.1,COMP 4.2,COMP 4.3,COMP 4.4,AREA 4,COMP 5.1,COMP 5.2,COMP 5.3,COMP 5.4,AREA 5
Male,21,IT,In full-time Education,In or completed vet education,100,100,100,100,100,"91,75",75,89,100,100,"92,78",100,100,100,100,100,100,100,100,100,100,"91,75",100,89,100,"94,92"
Male,19,IT,In full-time Education,In or completed higher education,"91,75","91,75","91,75","91,75","91,75","66,75","66,75",78,100,"66,75","78,35","83,25",75,"91,75","41,5","72,88","83,5",100,89,100,"92,67","91,75","83,25","33,33","58,25","66,62"
Male,20,IT,In full-time Education,In or completed higher education,"58,5","75,25","58,5","64,08",67,"58,5",50,67,67,"41,75","58,17",50,33,"58,5","41,5","45,75",50,"53,4","44,67","33,25","48,22",67,50,22,"58,5","48,77"
Female,19,IT,In full-time Education,In or completed secondary education,"83,5","83,5","66,75","77,92","83,5","83,5","83,5",67,67,75,77,100,"83,25","58,5",50,"72,94","66,75","80,2","55,67","75,25","70,56","58,5","75,25","44,33","75,25","64,23"
Male,28,IT,Self-employed,In or completed higher education,"83,5",100,"91,75","91,75","91,75","83,25","66,75",89,"83,5","91,75","84,13","91,75","83,5",50,"16,5","60,44",75,"73,4","66,67","91,75",76,"58,5",75,"44,33","83,5","66,69"
Male,20,IT,In full-time Education,In or completed higher education,50,67,50,"55,67","83,5",67,"66,75",67,67,50,"66,87",67,"58,5","58,5","41,5","56,38","58,5","46,6",78,67,"61,28",67,67,"44,33",67,"61,77"
Male,18,IT,In full-time Education,In or completed vet education,"58,5","58,5",67,"61,33",67,"58,5","24,75","55,67",67,"50,25","53,78","58,5","41,75","58,5","24,75","45,88","41,75","60,2","44,67","58,5",52,50,"58,5","33,33","58,5","51,38"
Male,19,IT,In full-time Education,In or completed higher education,50,67,50,"55,67","75,25","58,5",50,67,50,"58,5","59,57",67,"58,5",50,"58,5","58,5","58,5","73,4",67,"58,5",65,67,67,"44,33","75,25","64,31"
Female,19,IT,In full-time Education,In or completed secondary education,75,"75,25","75,25","75,17","66,75","66,75",50,"55,67","75,25","58,5","62,43","83,5","41,5",50,"16,5","47,88",50,"60,2","44,67","83,5","61,28","58,5","66,75","33,33","58,5","53,92"
Female,19,IT,In full-time Education,In or completed higher education,"50,25","75,25","58,5","61,33",75,"41,5","66,75",67,"58,5","41,75","58,04","58,5","33,5","24,75","16,5","33,31","24,75","33,2","55,67","41,5","40,67","58,5","58,5",11,"41,5",41
